장비,제품명,시작일,종료일,사용자명,파트너 담당자,휴대폰 번호,사용 여부,비고
2146FDGM4JX9,Roommate,12월 12일,　,손영진 부장,홍길동,010-0000-4071,반납완료,넥슨코리아 서재석 매니저 요청
2120WD0078E9,TAP,12월 12일,　,손영진 부장,홍길동,010-0000-4071,반납 완료,　
2120WD00F749,CAT5E Kit for TAP,12월 12일,　,손영진 부장,홍길동,010-0000-4071,반납완료,　
2231LX102W19,Logi Dock Graphite,01월 13일,01월 17일,"가이드삼정, 권재혁 과장",홍길동,010-0000-6696,반납완료,교육박람회 전시
2132LZ51X599,Meet up #1,12월 27일,01월 17일,"위드앤아이티, 송민석 차장",홍길동,010-0000-0589,반납완료,라온코리아
2135FDAGDHT9,Rally Bar,01월 08일,01월 21일,"보람씨앤에스, 김종구 대표",홍길동,010-0000-2443,반납완료,　
2421FDM2DMA9,MeetUp 2 #3,　,　,"로지텍 본사, 이영구 과장",홍길동,010-0000-8762,대여 가능,　
2421FDJZCMA9,MeetUp 2 #7,　,　,"로지텍 본사, 이영구 과장",홍길동,010-0000-8762,사용 불가,　
2315FDMA0LD9,Rally Bar Huddle,　,　,"로지텍 본사, 이영구 과장",홍길동,010-0000-8762,대여 가능,　
2429WD047ED9,Active USB Cable,　,-,"로지텍 본사, 이영구 과장",홍길동,010-0000-8762,사용중,　
2429WD047E99,Active USB Cable,　,-,"로지텍 본사, 이영구 과장",홍길동,010-0000-8762,사용중,　
2046LZ53TG39,Rally Plus,02월 05일,02월 11일,김창우 차장,홍길동,010-0000-7804,반납완료,　
2445VSXT07C9,Extend #1,03월 24일,-,"가이트 삼정, 아모레퍼시픽",홍길동,　,사용중,　
2135FDGM2ZN9,LOGI_RMATE_#2,04월 01일,04월 25일,"가이드 삼정, ",홍길동,　,사용중,넥슨 코리아
2445VS4T07M9,Extend #2,04월 10일,　,마인드온,홍길동,　,반납완료,　
2421FD3YCMA9,LOGI_MU2_#1,04월 15일,07월 11일,리코코리아,홍길동,　,반납완료,리코코리아 신규 사업 발표 행사
2445wde0eb49,Active USB Cable #1,04월 15일,07월 11일,리코코리아,홍길동,　,불량,리코코리아 신규 사업 발표 행사
2120wd0078e9,TAP DEMO 2,04월 15일,07월 11일,리코코리아,홍길동,　,반납완료,리코코리아 신규 사업 발표 행사
2445wdb0e7r9,Active USB Cable #2,04월 04일,07월 11일,"로지텍 본사, 이영구 과장",홍길동,　,사용중,　
2138FDAKQQD9,Rally Bar Graphite,04월 28일,05월 15일,ESCO KOREA,홍길동,　,반납완료,05.19 반납완료
,Extend #2,05월 11일,-,Atec,홍길동,　,사용중,LG Chem 9/30일 예상
2412FDJXA979,,05월 11일,-,Atec,홍길동,　,사용중,LG Chem 9/30일 예상
,,05월 11일,-,Atec,홍길동,　,사용중,LG Chem 9/30일 예상
2345FD2KBUB9,Rally Bar Mini,05월 11일,-,Atec,홍길동,　,사용중,LG Chem 9/30일 예상
,Active USB Cable,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2231LX102W19,,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2151WD018729,,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2324LZ50NG99,Sight,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2421FDDDCMA9,MeetUp 2,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2115FDJM4V69,TAP IP (W),05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2429WD047A39,Meetup 2 Active USB Cable (5M),05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2415FG10CA09,Rally Bar,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2240LZ525XQ9,Brio,05월 28일,-,Atec,김흥부,,사용중,LG Chem 9/30일 예상
2134FDZEQH29,Rally Bar Mini #2,05월 22일,06월 06일,비즈웨어 박종진 부장,김흥부,010-0000-3030,반납완료,6/10 반납 완료
2310LZ51HYX9,MeetUp #2,05월 22일,07월 01일,비즈웨어 박종진 부장,김흥부,010-0000-3030,반납완료,7/1 반납 완료
2151WD018779,Tap Cat5e kit,05월 21일,06월 04일,보람씨앤에스,김흥부,010-0000-2443,반납완료,코자
2413FD2JLXW9,Rally Bar Mini,05월 21일,06월 04일,Atec,김흥부,010-0000-2443,사용중,코자
0WXBTFQI24048323,CTL GQE20C,05월 23일,07월 23일,유앤케이테크 김창우 차장,김흥부,010-8654-7804,반납완료,　
2412FDJXAFZ9,TAP IP (G),05월 26일,-,CCK 대여,김흥부,　,반납완료,　
2132LZ51X599,Meet up #1,05월 30일,06월 13일,고우넷 김문성 매니저,김흥부,010-0000-1090,반납완료,OB맥주 6/05 반납완료
